,log10(Energy_Flux100),LP_beta,log10(LP_EPeak),GLON,GLAT,Signif_Avg,CLASS1,1_PDF,2_PDF
4FGL J0440.2+4246,-11.92869,0.4379942715167999,0.64484096,161.08428955078125,-2.5341551303863525,5.129451274871826,bcu,0.7266443690647862,0.27335563093521376
4FGL J0440.3-4332,-10.614551,0.202504813671112,-0.8076639,248.40069580078125,-41.557308197021484,61.56788635253906,fsrq,0.7115158518494924,0.28848414815050755
4FGL J0440.4+1440,-11.279286,0.1612204760313034,-0.37189507,183.22792053222656,-20.493125915527344,9.80678653717041,bcu,0.5890325627636491,0.41096743723635093
4FGL J0440.8+2749,-11.169756,0.1255626231431961,0.6701391,172.56613159179688,-12.21580982208252,21.07465362548828,bll,0.8327127053898218,0.16728729461017822
4FGL J0441.2-2953,-11.960067,0.0720146670937538,-0.5839963,230.4702911376953,-39.96078109741211,4.43450927734375,bll,0.8301076225207965,0.16989237747920344
4FGL J0441.3-2617,-12.2563305,0.2261654585599899,1.4826946,225.9263916015625,-39.12321472167969,3.8400635719299316,bcu,0.9669125421052858,0.03308745789471424
4FGL J0441.4+5058,-11.32151,0.1097640320658683,-1.3055432,155.0574188232422,3.043337821960449,4.6128668785095215,unas,0.9584772817082238,0.04152271829177616
4FGL J0441.5+1505,-11.405165,0.1075112521648407,0.77234554,183.04981994628906,-20.035507202148438,9.450008392333984,bll,0.939437344857068,0.06056265514293199
4FGL J0441.8+2600c,-11.253183,0.4698593616485595,-0.39546847,174.14776611328125,-13.202127456665039,6.723180770874023,unas,0.008088895319627016,0.991911104680373
4FGL J0442.0-5432,-11.540573,0.0584471523761749,-1.7402434,262.90179443359375,-40.36735916137695,12.763937950134277,unas,0.9709447578634938,0.029055242136506235
4FGL J0442.6-0017,-10.44339,0.0762745440006256,-1.3694602,197.19972229003906,-28.462345123291016,77.89479064941406,fsrq,0.8876648548127767,0.1123351451872233
4FGL J0442.8+3609,-11.219253,0.1813709884881973,-0.93007755,166.4012908935547,-6.5035576820373535,7.776376247406006,unas,0.8671187478220376,0.13288125217796237
4FGL J0443.3-5949,-12.306143,0.3410670161247253,0.72629595,269.60040283203125,-39.156578063964844,3.830112934112549,unas,0.9507865561835841,0.04921344381641592
4FGL J0443.3-6652,-11.487037,0.1062859147787094,-0.6851194,278.2080383300781,-37.20450210571289,14.270525932312012,fsrq,0.9092263752143003,0.09077362478569971
4FGL J0443.4-4152,-11.811499,0.0348601527512073,1.3986549,246.2003173828125,-40.962955474853516,9.472919464111328,bll,0.9874164732149684,0.012583526785031645
4FGL J0443.9+2921,-11.372887,0.177324429154396,-1.034777,171.80313110351562,-10.72000503540039,4.655654430389404,unas,0.8763616093445534,0.12363839065544663
4FGL J0444.4+1621,-11.403632,0.1536215990781784,-0.5881138,182.41342163085938,-18.71782684326172,5.1378631591796875,unas,0.8277818622081452,0.17221813779185483
4FGL J0444.6+3425,-11.179189,0.0634838789701461,0.0042932034,167.97909545898438,-7.356888771057129,12.439099311828613,bcu,0.8723168185993316,0.12768318140066828
4FGL J0445.1-6012,-11.642938,0.0947660207748413,0.122570276,270.0137023925781,-38.84645462036133,10.661727905273438,fsrq,0.9307945855827079,0.06920541441729214
4FGL J0445.7+1535,-11.585057,0.3475174605846405,-0.4759698,183.25938415527344,-18.923175811767578,3.8090221881866455,unas,0.5714895982200126,0.42851040177998745
4FGL J0447.2+2446,-11.37805,0.4437844753265381,-0.014506817,175.91546630859375,-13.053449630737305,9.332432746887207,unas,0.005177722906001661,0.9948222770939984
4FGL J0447.2-2539,-11.730221,0.0872453227639198,1.5216713,225.57760620117188,-37.67351150512695,9.862667083740234,bcu,0.9711476359249319,0.028852364075068093
4FGL J0447.4-2747,-12.205103,0.5271310806274414,0.18573475,228.2275848388672,-38.1722526550293,4.3814544677734375,bcu,0.017524299833021825,0.9824757001669782
4FGL J0448.3+2743,-11.439192,0.2717140614986419,-0.5652411,173.71841430664062,-11.006505012512207,5.267671585083008,unas,0.6190838807436593,0.38091611925634067
4FGL J0448.6-1632,-11.0988245,0.0563434585928916,1.1383147,215.03610229492188,-34.43928527832031,30.342220306396484,bll,0.9527377721611199,0.04726222783888017
4FGL J0448.7-2116,-11.480883,0.1296965926885604,-1.2328138,220.488037109375,-36.04710388183594,8.824868202209473,unas,0.9413750182605473,0.058624981739452665
4FGL J0449.1+1121,-10.530994,0.1236705482006073,-0.9931505,187.42837524414062,-20.73698616027832,46.504146575927734,fsrq,0.9140171145419796,0.08598288545802035
4FGL J0449.2+6329,-10.921809,0.0769009292125701,-0.6477649,146.06153869628906,11.901134490966797,28.151424407958984,fsrq,0.8888913342769702,0.11110866572302984
4FGL J0449.3-2621,-11.751179,0.153258666396141,-0.90394115,226.5873565673828,-37.40737533569336,4.73544979095459,unas,0.8532131520397799,0.1467868479602201
4FGL J0449.6+3027,-11.505444,0.1906836479902267,-0.73195076,171.73919677734375,-9.05914306640625,3.3306095600128174,bcu,0.8243265580648496,0.17567344193515053
4FGL J0450.4+7230,-11.71369,0.029383435845375,-0.6208482,138.72360229492188,17.471235275268555,8.62443733215332,bcu,0.8243734551907882,0.17562654480921186
4FGL J0450.7+0715,-12.105009,0.0453955978155136,2.17098,191.31515502929688,-22.714214324951172,4.101831912994385,unas,0.9917000725646816,0.008299927435318351
4FGL J0451.8-4651,-11.35525,0.111834816634655,-0.82046604,252.73492431640625,-39.50310516357422,17.181293487548828,fsrq,0.9337396591182241,0.06626034088177593
4FGL J0451.8+5721,-11.806335,0.1975561082363128,1.1041293,151.13888549804688,8.320268630981445,8.380640029907227,bcu,0.9489700534049316,0.05102994659506832
4FGL J0452.0+2100,-11.997752,0.0681984722614288,2.2618299,179.68045043945312,-14.485651969909668,3.8167903423309326,bcu,0.9806508600398909,0.019349139960109136
4FGL J0452.9+5117,-11.31489,0.3475625216960907,-0.504581,155.9919891357422,4.630415439605713,6.140634536743164,spp,0.19808194351403138,0.8019180564859686
4FGL J0453.1-2806,-10.663794,0.1306430697441101,-1.279275,228.99725341796875,-37.03191375732422,56.704368591308594,fsrq,0.9008648779149531,0.09913512208504689
4FGL J0453.1+6322,-11.456543,0.0425337515771389,0.15296388,146.43252563476562,12.168914794921875,11.581080436706543,bll,0.9379445452662264,0.06205545473377365
4FGL J0453.3+2843,-11.135955,0.1045261994004249,-1.0382037,173.61680603027344,-9.52130126953125,9.827839851379395,unas,0.9563949018084604,0.04360509819153964
4FGL J0453.9+3727,-11.66809,0.2218843847513198,0.51305246,166.8354949951172,-3.966783046722412,3.4069113731384277,bcu,0.9130191672476345,0.08698083275236547
4FGL J0454.4+5943,-11.513792,0.2179123610258102,-0.7226753,149.4725799560547,10.048455238342285,4.208796977996826,unas,0.7928530001449735,0.20714699985502652
4FGL J0454.6-1740,-11.934555,0.2243837267160415,0.46013546,216.93582153320312,-33.50908279418945,4.884117603302002,unas,0.9259520068494266,0.07404799315057342
4FGL J0455.9+6757,-11.831289,0.2263094931840896,0.84507656,142.8381805419922,15.15404224395752,9.493707656860352,unas,0.9600626517888826,0.03993734821111739
4FGL J0456.2+2702,-11.119429,0.095482513308525,-0.7888212,175.37379455566406,-10.049195289611816,10.888505935668945,bcu,0.9346617477156796,0.06533825228432047
4FGL J0456.3-1634,-11.845461,0.2858679592609405,0.6631715,215.89505004882812,-32.736637115478516,9.612311363220215,bcu,0.974950749508254,0.02504925049174606
4FGL J0456.6-3136,-11.141818,0.1045494377613067,-0.9521146,233.4839324951172,-37.087745666503906,28.77657699584961,fsrq,0.951759391305412,0.04824060869458806
4FGL J0457.0+0646,-11.438631,0.0833290070295333,-1.2264525,192.66831970214844,-21.671369552612305,9.002825736999512,fsrq,0.9675780052356094,0.03242199476439059
4FGL J0458.2+6244,-11.934136,0.1237715110182762,0.5186584,147.309326171875,12.248200416564941,4.406250953674316,unas,0.9503690292187339,0.04963097078126613
4FGL J0458.4+5140c,-11.461769,0.2516292035579681,-0.47830606,156.22299194335938,5.539371967315674,4.893094539642334,spp,0.5351447666441643,0.46485523335583556
4FGL J0458.6+5509,-11.549581,0.0657464861869812,-1.1648517,153.46734619140625,7.709446430206299,4.7673659324646,bcu,0.9656974389315856,0.03430256106841444
4FGL J0459.2-2612,-11.964171,0.0834058225154876,-0.2930646,227.1571807861328,-35.23971176147461,4.442113876342773,bcu,0.8104162948222836,0.18958370517771642
4FGL J0459.4+1921,-11.751645,0.0174785293638706,0.7507663,182.1089324951172,-14.064255714416504,5.242148399353027,bcu,0.9746601986728795,0.025339801327120565
4FGL J0459.7-4529,-11.486127,0.1159075051546096,-0.85901237,251.00341796875,-38.128509521484375,11.064468383789062,bcu,0.9321550429791126,0.06784495702088748
4FGL J0459.7-5413,-11.989109,0.2351043820381164,0.8470342,262.07489013671875,-37.85432052612305,8.848358154296875,unas,0.9669053701205101,0.03309462987948976
4FGL J0500.1+5447,-11.641526,0.2316020876169204,0.1995852,153.89968872070312,7.6420369148254395,4.243558883666992,bcu,0.7008314093061911,0.29916859069380886
4FGL J0500.3+4639e,-10.517308,0.1487055122852325,-0.44678307,160.36944580078125,2.6909337043762207,21.938169479370117,snr,0.5194813593079183,0.48051864069208167
4FGL J0500.4-5321,-12.160156,0.3256103992462158,-0.05063653,260.97601318359375,-37.81277084350586,4.380015850067139,bcu,0.18203763904562584,0.8179623609543742
4FGL J0500.6-4911,-11.481107,0.0698426514863967,1.0672755,255.6868896484375,-37.97852325439453,18.07688331604004,bll,0.9714096863060545,0.028590313693945504
4FGL J0500.9-5213,-12.207823,0.1642137765884399,0.54703856,259.53045654296875,-37.819801330566406,3.5095303058624268,unas,0.8213253745485283,0.17867462545147178
4FGL J0500.9-6945e,-10.711248,0.0168327540159225,-0.7010598,281.0029602050781,-34.78921127319336,21.406457901000977,unas,0.618602638554717,0.381397361445283
4FGL J0501.0+2424,-11.75263,0.2497309893369674,1.0357099,178.17056274414062,-10.77048397064209,8.320656776428223,bcu,0.9564487075249728,0.043551292475027106
4FGL J0501.0-2423,-11.391732,0.1680936813354492,-1.3429843,225.1818084716797,-34.3099479675293,7.1247148513793945,bcu,0.8666246758977708,0.13337532410222916
4FGL J0501.2-0158,-10.234703,0.090942159295082,-0.96960545,201.43849182128906,-25.290491104125977,111.60072326660156,fsrq,0.8798629299483068,0.12013707005169305
4FGL J0502.2+3016,-11.785533,0.2809551656246185,1.0802498,173.58099365234375,-7.042043685913086,4.6782732009887695,unas,0.9764154878914759,0.023584512108524202
4FGL J0502.5+3438,-10.838139,0.1235474199056625,-0.52665734,170.1357879638672,-4.349277496337891,25.42063331604004,bcu,0.7533985786494951,0.2466014213505049
4FGL J0502.6+0036,-11.578071,0.1283145248889923,0.07697821,199.1668243408203,-23.705015182495117,8.39724349975586,unas,0.8784448390383723,0.12155516096162758
