,log10(Energy_Flux100),LP_beta,log10(LP_EPeak),GLON,GLAT,Signif_Avg,CLASS1,1_PDF,2_PDF,3_PDF,4_PDF
4FGL J1231.5+1421,-11.493103,0.0212104935199022,2.2799149,281.9552001953125,76.40653991699219,13.815763473510742,bll,7.913668667504304e-07,0.7530082122936436,0.24699099633948962,9.015910273908631e-18
4FGL J1231.6+6415,-11.6284485,0.1096389815211296,1.3162088,126.48706817626953,52.737632751464844,17.027427673339844,bll,0.002891233640824895,0.9292900782852761,0.06781841598745147,2.720864474292968e-07
4FGL J1231.6-5116,-10.9654875,0.5900543332099915,-0.25825953,299.7742919921875,11.483131408691406,30.353302001953125,psr,8.317728549200072e-05,8.412673220789595e-12,0.2373718669968472,0.7625449557092481
4FGL J1231.6-6511,-10.954319,0.4832632541656494,-0.022968054,300.8585510253906,-2.4016714096069336,20.140689849853516,psr,9.358141694926962e-05,1.3579697939570721e-09,0.08904545653854937,0.9108609606865317
4FGL J1231.7+2847,-10.78309,0.0346730425953865,0.74191284,190.86122131347656,85.34355926513672,53.16975021362305,bll,6.887839252903885e-05,0.44483313477879,0.5494940405903804,0.005603946238300361
4FGL J1231.7-6653,-11.297024,0.4053976237773895,-0.7552252,300.9997253417969,-4.097456932067871,5.131721496582031,unas,0.41751505372456144,3.6933361232780905e-05,0.43220690437653553,0.1502411085376701
4FGL J1232.5+4821,-11.366252,0.0426221750676631,-1.489709,131.5130157470703,68.45979309082031,18.081592559814453,fsrq,0.9020251162428797,0.012663500558850896,0.08528568358438562,2.5699613883826184e-05
4FGL J1232.5-3720,-11.278837,0.0213763751089572,1.6586599,298.7847900390625,25.378664016723633,19.845539093017578,bcu,2.263883086515556e-05,0.07594221963142792,0.9240351413954647,1.4224220227517195e-10
4FGL J1233.0+1333,-11.388137,0.1541307121515274,-0.68453336,284.45001220703125,75.7635498046875,12.836028099060059,unas,0.8275886732134172,0.0016353875976525838,0.12560051390625926,0.04517542528267085
4FGL J1233.1+1703,-11.855069,0.3148926198482513,0.9513197,279.1885986328125,79.07600402832031,8.988727569580078,bll,0.13433812300339593,0.8526831557849579,0.0014375809772961998,0.01154114023434993
4FGL J1233.6+5027,-11.725586,0.1765162497758865,0.14246178,130.02357482910156,66.42190551757812,12.506087303161621,bll,0.44516054119068615,0.3371203031354644,0.05271683988638449,0.16500231578746485
4FGL J1234.0-5735,-10.866535,0.1082848533987999,0.6588564,300.5981140136719,5.196960926055908,32.303253173828125,bcu,0.005157234695274961,0.3194145466235282,0.5925493860492402,0.08287883263195657
4FGL J1234.2+2813,-12.051037,0.3659506738185882,1.507894,195.733642578125,86.04402160644531,4.758937835693359,bll,0.04422237313347713,0.9555508411836107,0.00017630111300705583,5.04845699052599e-05
4FGL J1234.5-7055c,-11.614603,0.3115005791187286,-0.4618857,301.5396728515625,-8.099007606506348,4.279735565185547,unas,0.5924009265934186,0.04344203731585566,0.05541554290222326,0.3087414931885025
4FGL J1235.1-1405,-11.879581,0.3338930904865265,1.374764,296.9660949707031,48.59404754638672,7.343732833862305,bll,0.04142389347192856,0.9574455703587791,0.0009647131973917301,0.00016582297190066895
4FGL J1235.9+1136,-12.055042,0.2787104845046997,0.3167374,288.9840087890625,74.05368041992188,4.420856952667236,unas,0.4040269240616933,0.3533921542909456,0.0036160319856812922,0.23896488966167992
4FGL J1236.3+3858,-11.601831,0.013422891497612,1.091579,136.85569763183594,77.73623657226562,13.174219131469727,bll,0.008277080483256809,0.9440929442130346,0.04762848800560056,1.4872981080413168e-06
4FGL J1236.9-7232,-11.444654,0.0895721763372421,-0.8269355,301.8295593261719,-9.692872047424316,7.794717311859131,rdg,0.8435477093515938,0.04761627523736074,0.0953705433762812,0.013465472034764205
4FGL J1237.0+3019,-12.168365,0.3696906864643097,1.6814828,166.8218536376953,85.50827026367188,5.023594856262207,bll,0.027921155861342077,0.9719597750382158,0.00011627329764481589,2.795802797280769e-06
4FGL J1237.8+6256,-11.965317,0.0196804143488407,1.8111115,125.57310485839844,54.124202728271484,7.532472610473633,bll,0.001616846153177981,0.9811911729803569,0.01719198086516181,1.303388623086378e-12
4FGL J1238.1-4541,-11.305815,0.0525975115597248,-0.86854243,300.5099182128906,17.1232967376709,13.902496337890625,bll,0.7312209598810386,0.018647580598874714,0.22290169112836553,0.027229768391721254
4FGL J1238.3-1959,-11.187884,0.0933475419878959,0.04462862,298.7496337890625,42.771141052246094,23.373870849609375,bll,0.08167514640177992,0.024188691189525418,0.6224774794289871,0.2716586829797075
4FGL J1238.5-1201,-11.074791,0.0991276428103447,-1.5342717,297.93218994140625,50.71812057495117,20.26961898803711,fsrq,0.8983644391115753,0.0025471261855515254,0.09907699048631728,1.1444216555834897e-05
4FGL J1239.4+0728,-11.60042,0.2028409391641616,0.07084155,294.1540222167969,70.1380386352539,12.345967292785645,bll,0.3936720458304464,0.2546153434193901,0.047505611810909676,0.3042069989392536
4FGL J1239.5+0443,-10.291303,0.1242668256163597,-0.67542624,295.1922912597656,67.42120361328125,106.84634399414062,fsrq,0.25434145177923,0.009256783840083823,0.3779642053957789,0.3584375589849072
4FGL J1239.5+4134,-12.196679,0.2383062839508056,1.526434,131.74061584472656,75.35639953613281,5.293075084686279,bll,0.02180330120377614,0.9741364784373899,0.004059986287524645,2.340713094310138e-07
4FGL J1240.1-6846,-11.3297205,0.1203051283955574,-0.15623331,301.9087219238281,-5.924000263214111,12.864968299865723,bcu,0.3417774010053453,0.011153985642380062,0.31164310620830843,0.3354255071439663
4FGL J1240.4-2606,-11.614473,0.1554037034511566,0.2124033,299.8539733886719,36.69053649902344,7.383347511291504,bcu,0.3456232043211655,0.43117449861426016,0.09402169334638971,0.12918060371818454
4FGL J1240.4-7148,-11.179895,0.055881530046463,1.5572724,302.0654602050781,-8.962315559387207,20.939855575561523,bcu,7.150336642762459e-06,0.06321979336050028,0.9367730544981089,1.804748014299547e-09
4FGL J1241.6+3844,-12.010882,0.2249953597784042,0.28883886,132.26597595214844,78.20416259765625,4.272421836853027,bcu,0.46840072529779914,0.3682481915164899,0.016022194974663055,0.14732888821104786
4FGL J1241.8-1456,-11.495175,0.2012261301279068,0.8220606,299.4606628417969,47.86918258666992,16.012418746948242,bll,0.09205686703584662,0.6788317299391415,0.21606049609717942,0.013050906927832475
4FGL J1241.9+0636,-11.856457,0.0906331315636634,0.82776976,296.2454528808594,69.35173797607422,6.271510124206543,bll,0.07886908697405644,0.886653760354521,0.03429129067952782,0.00018586199189475419
4FGL J1241.9-6706,-11.966084,0.3385548591613769,0.5188627,302.0115966796875,-4.248417377471924,4.49392032623291,unas,0.3173363155275343,0.3990108214624242,0.0004006708018115481,0.28325219220822995
4FGL J1242.6+3236,-12.261124,0.2267799526453018,1.8559928,141.64869689941406,84.19879913330078,4.480971336364746,unas,0.007077338019633741,0.9877482105041901,0.00517445114307195,3.331041818549388e-10
4FGL J1242.6+7635,-12.181042,0.1359775066375732,1.0925803,123.6012954711914,40.531246185302734,4.749826908111572,bll,0.1477718327017977,0.8200921522334457,0.03210793495402036,2.8080110736180983e-05
4FGL J1242.9+7315,-11.745193,0.0253918003290891,1.657403,123.776123046875,43.85348892211914,12.310832023620605,bll,0.0006702142412201536,0.9720168766268853,0.02731290909872389,3.3170490787529166e-11
