,log10(Energy_Flux100),LP_beta,log10(LP_EPeak),GLON,GLAT,Signif_Avg,CLASS1,1_PDF,2_PDF,3_PDF,4_PDF,Gauss_PDF
4FGL J1918.0+0331,-11.463238,0.1606454253196716,1.5546498,39.11332321166992,-4.2947587966918945,9.884571075439453,unk,0.0007109467369444375,0.7075294296453669,0.2917595090681365,1.1454941796228851e-07,1.342966051290867e-13
4FGL J1918.1+3752,-11.551403,0.1184871569275856,0.77959204,69.81201171875,11.437972068786621,10.839841842651367,bcu,0.015402719899429393,0.9432212819497756,0.040655863286158306,0.0007153331098449893,4.801754791716136e-06
4FGL J1918.1+1215c,-10.686695,0.3969689309597015,-0.3878157,46.870567321777344,-0.2538897693157196,9.15756607055664,spp,2.9251503187948067e-05,7.431547501723134e-09,0.030380416906750585,0.09840350930960878,0.8711868148489051
4FGL J1918.2-4111,-10.62667,0.0985553041100502,0.61372995,356.7803955078125,-22.239795684814453,58.45857620239258,bll,0.0026486237947753624,0.7520725698960834,0.22686108312121736,0.017219922152279982,0.0011978010356438202
4FGL J1918.6-7813c,-11.661496,0.3830803036689758,-0.36174035,316.178955078125,-27.898540496826172,5.840771675109863,unas,0.06345405722860707,0.009921767598525614,0.013318707806967894,0.18889879781351052,0.724406669552389
4FGL J1919.1+2354,-11.424345,0.435466855764389,0.07073188,57.28770446777344,4.973854064941406,9.547013282775879,msp,0.01202564629371035,0.00010384728412940667,0.05655842136936098,0.7466659928446544,0.18464609220814485
4FGL J1919.2+0618,-11.011604,0.229441687464714,-0.80709505,41.72980499267578,-3.2664942741394043,7.288129806518555,bcu,0.22592596107371127,0.00021748012023543552,0.003724588503073739,0.03214855058414798,0.7379834197188317
4FGL J1919.4+1313,-10.694785,0.3277526497840881,-0.512445,47.87485122680664,-0.08241082727909088,7.147639274597168,unas,0.00013191211871222203,2.1067623055979482e-07,0.0169082528837451,0.06473394673538688,0.9182256775859252
4FGL J1919.9+1358c,-11.00722,0.157099574804306,-0.0916028,48.58447265625,0.17847765982151031,5.964017391204834,unas,0.24143879837678067,0.002491018815778862,0.005419374969931975,0.1616629382548002,0.5889878695827084
4FGL J1920.0-2622,-11.466899,0.2704475224018097,-0.063222885,11.749503135681152,-17.578611373901367,10.790816307067871,unas,0.09233043864178044,0.022947417417678004,0.011691884595827868,0.3574877061139445,0.5155425532307691
4FGL J1920.5+3652,-11.858837,0.3070900738239288,-0.23855495,69.11410522460938,10.57422161102295,4.3521294593811035,unas,0.12918512681362262,0.08328766097244954,0.0023542979534606897,0.2943386580710228,0.4908342561894443
4FGL J1920.7+1334,-10.960835,0.276358425617218,-0.3916595,48.319671630859375,-0.19169087707996368,4.118194103240967,unas,0.010627519109962184,2.079898458783332e-05,0.00471352406600974,0.06890458991486983,0.9157335679245704
4FGL J1920.8+0418,-11.364286,0.237547218799591,0.1922667,40.140899658203125,-4.5610671043396,8.568979263305664,unk,0.12552287689120822,0.018784437228039675,0.030298000624064285,0.572586082910677,0.2528086023460109
4FGL J1920.9+1408,-10.548412,0.2627075016498565,-0.4446323,48.85414123535156,0.03690763935446739,7.959488391876221,unk,8.61391326749072e-05,3.2406852715778876e-07,0.042534908596202986,0.13084930342542578,0.8265293247771692
4FGL J1921.1+1930,-11.395278,0.3665629625320434,0.28209114,53.61495590209961,2.5086731910705566,7.911948204040527,msp,0.027158572026596165,0.001148384245633729,0.016201713422963518,0.878403139428267,0.07708819087653955
4FGL J1921.3-1231,-10.950521,0.0568863339722156,0.16784167,24.98931884765625,-12.243683815002441,25.853252410888672,bll,0.051525266644068354,0.5537911059998867,0.042636162230953505,0.16976676690211417,0.18228069822297735
4FGL J1921.4+0136,-10.979591,0.2827691733837127,0.08813763,37.80112075805664,-5.9291486740112305,20.896690368652344,msp,0.007253027606974399,8.03182323002241e-05,0.007308655333878249,0.4074809324713328,0.5778770663555144
4FGL J1921.7+5817,-12.081109,0.0349984914064407,1.4767208,89.49207305908203,19.0372257232666,4.951117038726807,bcu,0.004420916444092522,0.9910968291405197,0.0044822526116073715,1.8037755541650874e-09,4.913224171067708e-15
4FGL J1921.8-1607,-10.912672,0.0903417244553566,1.2036853,21.694683074951172,-13.87243366241455,32.46177291870117,bll,3.046585415108985e-05,0.8923537478156224,0.10761009072369156,5.6911470001406505e-06,4.459534776880269e-09
4FGL J1922.2+2314,-11.17207,0.0979869812726974,0.22327352,57.04126739501953,4.032412528991699,11.208219528198242,bcu,0.1739830153195932,0.30218142747182575,0.06816175271365839,0.26184220574942385,0.19383159874549893
4FGL J1922.4+1453c,-10.710596,0.2973852455615997,-0.43600845,49.683170318603516,0.05688270553946495,7.154900550842285,unas,0.0001307834804515719,6.916767707210249e-07,0.017831865272060068,0.08177727809591744,0.9002593814748002
4FGL J1922.5-7453,-11.376835,0.0877037122845649,1.0545783,319.9659118652344,-28.136762619018555,17.52598762512207,bcu,0.0054914360200079195,0.6483971423366965,0.34606581069047304,4.555657880228895e-05,5.437402014293194e-08
4FGL J1922.5-5233,-11.557451,0.1687138229608535,-0.41636992,344.9273376464844,-25.80291175842285,9.830059051513672,unas,0.25827847011795585,0.0590068315589507,0.03170800901733997,0.12369735783220491,0.5273093314735485
4FGL J1922.6-6324,-11.986725,0.2512618005275726,0.23562121,332.9318542480469,-27.50273323059082,5.894765377044678,bcu,0.20025008075892956,0.5252014896685702,0.004251733171047358,0.25142767575685515,0.018869020644597743
4FGL J1922.7+1428c,-10.48227,0.3627956807613373,-0.2342484,49.35016632080078,-0.20529964566230774,9.38515853881836,unas,2.8384657676942973e-06,1.0146766540830955e-09,0.1105150284144349,0.25028565912172995,0.6391964729833908
4FGL J1923.0-4746,-12.086135,0.3237480223178863,1.3184628,350.1136779785156,-24.819711685180664,4.099785327911377,unas,0.01539140160952258,0.9843606830636555,0.00017250012868397983,7.54151865087824e-05,1.1629139467286385e-11
4FGL J1923.4-2503,-11.924773,0.3452164530754089,1.5345368,13.333836555480957,-17.76950454711914,4.903737545013428,bcu,0.008086481440339492,0.9916878618861958,0.0002088653155317424,1.6791357815381863e-05,1.1773105850042048e-13
4FGL J1923.5-2104,-10.7911415,0.1341905295848846,-0.26426578,17.180084228515625,-16.245832443237305,40.971187591552734,fsrq,0.09628393648483184,0.008877811071612878,0.0194487345105669,0.15915225830190016,0.7162372596310883
4FGL J1923.5+7354,-11.716799,0.1409432590007782,-1.191463,105.46839141845703,23.80632781982422,4.46165132522583,fsrq,0.9106236466400658,0.0453808727222546,0.04230278172118436,0.00040943922153954414,0.001283259694955891
4FGL J1924.2-1549,-11.63137,0.0900722816586494,0.39794207,22.226097106933594,-14.262038230895996,6.589865684509277,bll,0.050547284428163836,0.914985910418492,0.023600629255440646,0.009857223735048567,0.0010089521628545584
4FGL J1924.3-5458,-12.089638,0.5767286419868469,0.8771415,342.3477478027344,-26.518007278442383,5.9456353187561035,bcu,0.006147453398763544,0.0014365013255053735,7.065669732601758e-06,0.9924086656055904,3.1400040811475505e-07
