,sin(GLAT),cos(GLON),sin(GLON),log10(Energy_Flux100),log10(Unc_Energy_Flux100),log10(Signif_Avg),LP_index1000MeV,LP_beta,LP_SigCurv,log10(Variability_Index),CLASS1,1_RF,1_RF_std,1_NN,1_NN_std,2_RF,2_RF_std,2_NN,2_NN_std,3_RF,3_RF_std,3_NN,3_NN_std,4_RF,4_RF_std,4_NN,4_NN_std,sample_weight
4FGL J0002.1-6728,-0.7542911,0.64392245,-0.76509076,-11.612266,-12.483412,1.2220013,1.207217,0.1600688397884369,3.092949390411377,1.0158037,bll,0.022781274217495515,0.013307031567539138,0.010783316288143396,0.003893734095443221,0.9629440242196445,0.033433586190627106,0.9404580652713775,0.014695853662170662,2.247191011235955e-05,7.106241932962649e-05,0.029740046244114637,0.010722629922742349,0.014252229652747531,0.023172209691413818,0.019018557388335466,0.003908084647807367,0.02681333765533804
4FGL J0002.1+6721c,0.08610353,-0.4726044,0.8812747,-11.359204,-11.880226,0.805569,2.3033106,0.244720458984375,3.18265438079834,0.88764787,unk,0.12045833333333332,0.05753702169254355,0.06894059892510995,0.02112761923374616,0.050625000000000024,0.032708008649063786,0.0414191196517398,0.013861509723884757,0.21136111111111103,0.08835689056504392,0.21359087511276206,0.06489222739584097,0.6175555555555555,0.09782517656219522,0.6760493988792101,0.05771968718114391,1.0
4FGL J0002.3-0815,-0.92618895,0.016694203,0.99986064,-11.851819,-12.444879,0.72176605,1.9134762,0.1124634817242622,1.0140743255615234,1.1279827,bcu,0.1481266037483082,0.06491760875115975,0.1602733062269787,0.022126332372730192,0.8462964151419875,0.06758359284201482,0.7888155008355776,0.0294998972257268,0.00355717905941774,0.008559910247527017,0.015758592480172712,0.005678536709585908,0.0020198020502868817,0.004619764718679062,0.03515260375570506,0.010791179590549453,1.0
4FGL J0002.4-5156,-0.895238,0.76603854,-0.64279467,-12.1445875,-12.701386,0.764236,0.7326475,0.3182266354560852,2.4081099033355717,1.2967705,bcu,0.016811182728348792,0.017406805429969766,0.020755376463057473,0.008954545620853552,0.9619334182758211,0.025725864432923295,0.9583030417561531,0.013822799410991883,0.0,0.0,0.00562813957852389,0.003684444916649212,0.021255398995830344,0.01851941426980348,0.0153134417438802,0.00657161573310539,1.0
4FGL J0002.7+7220,0.17071296,-0.487993,0.87284756,-11.474571,-12.001056,0.75351524,2.092662,0.1047198176383972,1.0383727550506592,1.1973438,spp,0.11845966423020267,0.04857953018975873,0.31227576329062384,0.037807077015157085,0.39072701202297117,0.0934964597919539,0.5908493734896183,0.04460299600305299,0.26276652660040273,0.1047552452399181,0.04595919135802736,0.01915569797454356,0.2280467971464233,0.07386367271750022,0.050915665846938886,0.015041378431166678,1.0
4FGL J0002.8+6217,-0.0008907481,-0.45896608,0.8884538,-10.726508,-11.886808,1.5537994,2.108445,0.385295033454895,11.985062599182127,1.1869705,psr,0.006111111111111111,0.010369008625190794,0.0027736937045119703,0.002145725888797937,0.007222222222222223,0.012744343869089328,0.0017678175225026077,0.0011780668700699395,0.5159259259259259,0.09389575331676281,0.6754399902290769,0.09808832614778935,0.4707407407407407,0.09500296215234448,0.3200184934669071,0.09566793056435378,0.005772010804965699
4FGL J0003.1-5248,-0.8893282,0.7545938,-0.65619224,-11.464392,-12.384754,1.2923768,1.26097,0.1216496080160141,2.704746723175049,1.0995704,bcu,0.00941389326594241,0.013007271575816064,0.006537499187591796,0.002376585757307675,0.9862325927371653,0.014715346849956828,0.959673191110293,0.018736265401319487,5.6391158773919294e-05,0.00012143532450874429,0.028040524543030187,0.017368897515920793,0.004297122838118063,0.008190779910705107,0.005748777218589869,0.0025331268338102345,1.0
4FGL J0003.1-1543,-0.96137834,0.24212685,0.9702446,-11.994628,-12.596193,0.67465574,1.3961177,0.1981576681137085,1.018174171447754,1.1299323,sey,0.08583618210806943,0.04528520329108997,0.04829127845518729,0.011398023940667813,0.9128454631803945,0.04510968328648836,0.9302496769848991,0.017257162696036454,3.795603426031514e-05,0.00013197003887209914,0.006673621479421854,0.002553267402043893,0.0012803986772757137,0.0012480741320505084,0.014785427408402456,0.007300310848633366,1.8295523896426285
4FGL J0003.2+2207,-0.6344715,-0.31628725,0.9486635,-11.802303,-12.456342,0.74446577,1.1462548,0.2926516234874725,1.9612951278686523,1.1297764,bll,0.09687010408685641,0.03420021045558421,0.05059047415852547,0.012183145383962833,0.7655339718794877,0.06118276277434556,0.8982574542363485,0.020080959186309137,0.01337021407550773,0.01304761924419924,0.010877014118401954,0.006207653673906829,0.12422570995814812,0.07340515640756008,0.04027505901952585,0.013485940652427322,10.0
4FGL J0003.3-0703,-0.9199212,-0.019105269,0.9998175,-12.036341,-12.566845,0.6757093,1.2601187,0.1113098412752151,0.8649358749389648,0.87490755,bcu,0.13799537535794346,0.07211128658878226,0.022361127989521872,0.0070211140117053365,0.8539556686334869,0.07171222413021205,0.9514740233620008,0.014048545294754407,0.0017783405540953007,0.0055954303217170525,0.013689465976009766,0.007309102395526278,0.006270615454474247,0.009432510752592512,0.012475376308429986,0.005882676595565202,1.0
